,submission_date,state,new_case,caseInterpolate_MA7,caseInterpolate_savitzky31_3,caseInterpolate_gauss8,caseInterpolate_gauss3
5401,2020-03-23,UT,111,35.857142857142854,148.11486103875512,55,51
33741,2020-03-24,UT,18,38.42857142857143,167.3110829237355,60,58
33818,2020-03-25,UT,48,43.714285714285715,170.92280685859248,65,66
36184,2020-03-26,UT,56,47.714285714285715,202.4769983465084,70,74
35115,2020-03-27,UT,64,52.0,231.81181906724947,75,82
398,2020-03-28,UT,122,66.14285714285714,251.03950259349023,80,90
2158,2020-03-29,UT,201,88.57142857142857,274.4699540193435,84,97
36858,2020-03-30,UT,17,75.14285714285714,322.6277831887471,88,103
35864,2020-03-31,UT,128,90.85714285714286,336.48660218804486,92,109
2943,2020-04-01,UT,78,95.14285714285714,337.67460191623815,96,114
2490,2020-04-02,UT,153,109.0,373.55727196538993,99,118
2847,2020-04-03,UT,81,111.42857142857143,405.5705451992116,101,122
33596,2020-04-04,UT,182,120.0,433.12559740877475,104,123
35950,2020-04-05,UT,177,116.57142857142857,438.4608258397697,106,123
2384,2020-04-06,UT,111,130.0,494.6532197784773,108,121
32191,2020-04-07,UT,88,124.28571428571429,518.7881718725224,109,116
1853,2020-04-08,UT,112,129.14285714285714,518.2852159731817,111,112
1619,2020-04-09,UT,145,128.0,555.6368207660422,112,107
3909,2020-04-10,UT,41,122.28571428571429,582.7777299599082,113,103
36140,2020-04-11,UT,104,111.14285714285714,637.4342340709867,115,101
35302,2020-04-12,UT,132,104.71428571428571,624.2481143400754,116,101
352,2020-04-13,UT,54,96.57142857142857,651.464087521801,118,103
5069,2020-04-14,UT,61,92.71428571428571,678.2893610274297,119,106
3376,2020-04-15,UT,184,103.0,709.8426011914198,121,110
715,2020-04-16,UT,123,99.85714285714286,742.3496341932997,123,115
1874,2020-04-17,UT,45,100.42857142857143,771.5647240028085,125,121
37412,2020-04-18,UT,141,105.71428571428571,785.630591859385,127,126
5489,2020-04-19,UT,205,116.14285714285714,800.1212484993995,129,131
34370,2020-04-20,UT,108,123.85714285714286,821.1215882579445,131,135
700,2020-04-21,UT,110,130.85714285714286,843.3492264830458,133,139
1019,2020-04-22,UT,171,129.0,878.8925003963847,135,142
3786,2020-04-23,UT,182,137.42857142857142,839.8489433509251,137,145
33401,2020-04-24,UT,60,139.57142857142858,861.9981426532876,139,147
1771,2020-04-25,UT,166,143.14285714285714,874.9153774717431,141,149
32061,2020-04-26,UT,266,151.85714285714286,882.5023443339597,143,150
2428,2020-04-27,UT,93,149.71428571428572,891.3537112958389,144,150
36347,2020-04-28,UT,116,150.57142857142858,905.8328161453259,146,149
33190,2020-04-29,UT,182,152.14285714285714,919.1389612448752,147,149
36850,2020-04-30,UT,148,147.28571428571428,935.8547871978977,148,150
145,2020-05-01,UT,75,149.42857142857142,960.2572425196491,149,152
1328,2020-05-02,UT,153,147.57142857142858,950.2690208158733,149,153
33909,2020-05-03,UT,280,149.57142857142858,966.476273528279,150,155
32295,2020-05-04,UT,145,157.0,976.9038936329246,150,156
37484,2020-05-05,UT,124,158.14285714285714,997.8202224285938,151,157
34594,2020-05-06,UT,65,141.42857142857142,997.6108405626396,151,156
33104,2020-05-07,UT,199,148.71428571428572,1005.6391764252868,152,155
493,2020-05-08,UT,247,173.28571428571428,1030.0477700514164,152,153
34607,2020-05-09,UT,193,179.0,1031.1399805205097,153,150
33624,2020-05-10,UT,83,150.85714285714286,1029.7000385059682,153,147
32745,2020-05-11,UT,78,141.28571428571428,1037.726494371333,154,144
33276,2020-05-12,UT,153,145.42857142857142,1050.6851570817,155,143
740,2020-05-13,UT,127,154.28571428571428,1036.5779066343516,156,144
36181,2020-05-14,UT,162,149.0,1036.3703368139704,157,146
1288,2020-05-15,UT,175,138.71428571428572,1051.866950553806,159,149
36334,2020-05-16,UT,154,133.14285714285714,1035.5248363496337,161,153
459,2020-05-17,UT,139,141.14285714285714,1026.713900654601,164,156
32455,2020-05-18,UT,154,152.0,1018.2498357833697,167,159
4760,2020-05-19,UT,136,149.57142857142858,1014.211986681465,170,162
2699,2020-05-20,UT,213,161.85714285714286,980.5668078552172,175,163
5498,2020-05-21,UT,173,163.42857142857142,974.5960723912202,179,163
3704,2020-05-22,UT,198,166.71428571428572,980.9664545063305,184,162
37352,2020-05-23,UT,152,166.42857142857142,963.1616571156761,190,162
1090,2020-05-24,UT,169,170.71428571428572,942.7021223583771,196,164
2297,2020-05-25,UT,84,160.71428571428572,921.3827266755757,203,170
35843,2020-05-26,UT,74,151.85714285714286,926.6906611701281,211,180
32830,2020-05-27,UT,157,143.85714285714286,880.1006591315767,219,194
33871,2020-05-28,UT,322,165.14285714285714,855.5049038483314,227,211
34026,2020-05-29,UT,292,178.57142857142858,862.0879521619966,236,226
1915,2020-05-30,UT,259,193.85714285714286,830.2673899748576,246,241
33446,2020-05-31,UT,256,206.28571428571428,809.9667716143059,255,255
32577,2020-06-01,UT,157,216.71428571428572,755.2395977258826,265,268
903,2020-06-02,UT,252,242.14285714285714,769.2511268658405,275,282
4902,2020-06-03,UT,384,274.57142857142856,745.0853926476249,285,297
35102,2020-06-04,UT,278,268.2857142857143,726.3541190060928,295,311
680,2020-06-05,UT,237,260.42857142857144,697.452490430134,305,322
1439,2020-06-06,UT,687,321.57142857142856,660.2741398446169,316,330
32367,2020-06-07,UT,178,310.42857142857144,623.3662370608619,326,334
1091,2020-06-08,UT,312,332.57142857142856,601.397585449274,337,336
2863,2020-06-09,UT,275,335.85714285714283,582.4627737887606,348,338
36741,2020-06-10,UT,344,330.14285714285717,561.301932093592,359,341
3900,2020-06-11,UT,381,344.85714285714283,529.5579288319099,370,346
