,stateName,CEN_stateCode,CEN_Bachelor's Degree or Higher,CEN_Employment Rate,CEN_Hispanic or Latino (of any race),CEN_Median Household Income,CEN_Total Employer Establishments,CEN_Total Households,CEN_Total Housing Units,CEN_Total Population,CEN_Unnamed: 0,CEN_Unnamed: 0.1,CEN_Without Health Care Coverage,CP_0_diff,CP_1_diff,CP_2_diff,FD_adminAndFireResponse,FD_fireResponseOnly,FD_lessThan10kCitizens,FD_moreThan10kCitizens,FD_totalFireDepartments,HB_bed_For-Profit,HB_bed_Non-Profit,HB_bed_State/Local Government,HB_bed_Total,OB_Prevalence,S1_people_fully_vaccinated,S1_people_fully_vaccinated_per_hundred,S1_people_vaccinated,S1_people_vaccinated_per_hundred,S2_people_fully_vaccinated,S2_people_fully_vaccinated_per_hundred,S2_people_vaccinated,S2_people_vaccinated_per_hundred,S3_people_fully_vaccinated,S3_people_fully_vaccinated_per_hundred,S3_people_vaccinated,S3_people_vaccinated_per_hundred,S4_people_fully_vaccinated,S4_people_fully_vaccinated_per_hundred,S4_people_vaccinated,S4_people_vaccinated_per_hundred,SP_Governor Political Affiliation,SP_State Attorney General Political Affiliation,SP_State House Majority Political Affiliation,SP_State Senate Majority Political Affiliation
15,Iowa,IA,29.3,64.3,215986,61691,82770,1287221,1412789,3190369,15,0.0,5.0,143,337,645,779,0,779,61,840,0.06,2.04,0.9,3.0,36.5,141104.0,4.47,430429.0,13.64,1217278.0,38.58,1444752.0,45.79,1584976.0,50.24,1719315.0,54.49,1770410.0,56.11,1922370.0,60.93,0,1,0,0
16,Kansas,KS,34.0,63.5,382603,62087,74292,1138329,1275689,2937880,16,0.0,9.2,144,343,630,582,18,600,50,650,0.81,1.39,1.07,3.28,35.3,138765.0,4.76,345965.0,11.88,970096.0,33.3,1260478.0,43.27,1340086.0,46.0,1596570.0,54.8,1572949.0,53.99,1878192.0,64.47,1,0,0,0
17,Kentucky,KY,25.1,55.8,207854,52295,91219,1748732,1994323,4505836,17,0.0,6.4,357,395,630,621,28,649,108,757,0.4,2.38,0.39,3.17,36.6,285516.0,6.39,614219.0,13.75,1569598.0,35.13,1915189.0,42.87,2063352.0,46.18,2385081.0,53.39,2278795.0,51.01,2584844.0,57.86,1,0,0,0
18,Louisiana,LA,25.0,55.4,322549,51073,106302,1741076,2073200,4657757,18,0.0,8.9,115,393,608,342,4,346,84,430,0.73,1.8,0.74,3.28,38.1,150219.0,3.23,419327.0,9.02,1371256.0,29.5,1580440.0,34.0,1761790.0,37.9,2122432.0,45.66,2240567.0,48.2,2531267.0,54.45,1,0,0,0
19,Maine,ME,33.2,60.7,26609,58924,41843,573618,739072,1362359,19,0.0,8.0,394,490,655,381,0,381,20,401,0.07,2.47,0.06,2.59,31.0,40806.0,3.04,126127.0,9.38,626413.0,46.6,778753.0,57.93,872212.0,64.89,943007.0,70.15,960520.0,71.46,1061277.0,78.95,1,1,1,1
20,Maryland,MD,40.9,63.7,729745,86738,139449,2226767,2530844,6177224,32,0.0,6.0,151,392,482,133,125,258,54,312,0.01,1.79,0.0,1.8,31.0,381870.0,6.32,791071.0,13.08,2674631.0,44.24,3304263.0,54.65,3600906.0,59.56,3983025.0,65.88,4050951.0,67.01,4504162.0,74.5,0,1,1,1
21,Massachusetts,MA,45.0,64.8,887685,85843,181061,2650680,2998537,7029917,33,0.0,3.0,393,476,642,184,1,185,178,363,0.37,1.84,0.05,2.26,24.4,392631.0,5.7,1090809.0,15.83,3215767.0,46.66,4293266.0,62.29,4443878.0,64.47,5068455.0,73.54,4851956.0,70.39,5700145.0,82.7,0,1,1,1
22,Michigan,MI,,,,,,,,,34,,,153,339,480,722,1,723,233,956,0.26,2.23,0.07,2.56,35.2,688417.0,6.89,1310846.0,13.13,3858133.0,38.63,4575076.0,45.81,4989106.0,49.96,5461450.0,54.69,5381337.0,53.88,5885185.0,58.93,1,1,0,0
23,Minnesota,MN,37.3,67.2,345640,74593,151495,2222568,2485558,5706494,35,0.0,4.9,156,344,665,659,1,660,113,773,0.0,2.13,0.34,2.46,30.7,160794.0,2.85,541133.0,9.6,2417991.0,42.87,2925164.0,51.87,3110118.0,55.15,3449072.0,61.16,3482426.0,61.75,3749766.0,66.49,1,1,1,0
24,Mississippi,MS,22.3,52.6,105220,45792,59130,1100229,1319945,2961279,36,0.0,13.0,220,387,615,459,8,467,62,529,0.79,1.23,1.64,3.66,39.7,114284.0,3.84,312244.0,10.49,747819.0,25.13,951726.0,31.98,1064808.0,35.78,1289365.0,43.32,1391610.0,46.76,1590255.0,53.43,0,0,0,0
